ServerTime,ESP_ms,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR,Label
2025-04-29 14:38:17.413715,97775,-0.218,-0.539,10.762,0.015,0.031,-0.023,92531,awake
2025-04-29 14:38:17.433699,97795,-0.220,-0.498,10.755,-0.004,0.033,-0.024,92578,awake
2025-04-29 14:38:17.449270,97815,-0.204,-0.493,10.748,-0.007,0.039,-0.026,92699,awake
2025-04-29 14:38:17.458953,97835,-0.232,-0.469,10.760,-0.005,0.036,-0.026,92763,awake
2025-04-29 14:38:17.483749,97855,-0.223,-0.481,10.736,-0.004,0.036,-0.027,92852,awake
2025-04-29 14:38:17.508971,97875,-0.211,-0.498,10.736,-0.002,0.039,-0.026,93001,awake
2025-04-29 14:38:17.526040,97895,-0.187,-0.460,10.757,-0.001,0.038,-0.019,93169,awake
2025-04-29 14:38:17.541827,97915,-0.180,-0.476,10.755,-0.008,0.038,-0.015,93239,awake
2025-04-29 14:38:17.576604,97935,-0.225,-0.508,10.812,-0.022,0.042,-0.018,92967,awake
2025-04-29 14:38:17.589083,97955,-0.266,-0.532,10.767,-0.031,0.044,-0.023,92198,awake
2025-04-29 14:38:17.713152,97975,-0.263,-0.520,10.726,-0.023,0.041,-0.023,93169,awake
2025-04-29 14:38:17.713152,97995,-0.192,-0.481,10.733,-0.002,0.035,-0.020,90504,awake
2025-04-29 14:38:17.713152,98015,-0.170,-0.472,10.738,0.013,0.030,-0.012,90280,awake
2025-04-29 14:38:17.713152,98035,-0.204,-0.498,10.743,0.013,0.030,-0.009,90415,awake
2025-04-29 14:38:17.713152,98055,-0.225,-0.472,10.757,0.006,0.037,-0.012,90748,awake
2025-04-29 14:38:17.713152,98075,-0.211,-0.417,10.795,-0.001,0.037,-0.011,91112,awake
2025-04-29 14:38:17.730030,98095,-0.215,-0.469,10.762,-0.012,0.042,-0.008,91396,awake
2025-04-29 14:38:17.741581,98115,-0.227,-0.484,10.769,-0.021,0.044,-0.006,91562,awake
2025-04-29 14:38:17.775542,98135,-0.249,-0.488,10.707,-0.016,0.044,-0.008,91808,awake
2025-04-29 14:38:17.775542,98155,-0.235,-0.448,10.743,-0.009,0.041,-0.011,92108,awake
2025-04-29 14:38:17.808390,98175,-0.175,-0.402,10.772,-0.003,0.041,-0.009,92420,awake
2025-04-29 14:38:17.834024,98195,-0.192,-0.405,10.788,-0.008,0.039,0.000,92681,awake
2025-04-29 14:38:17.846225,98215,-0.196,-0.460,10.788,-0.025,0.042,0.001,92698,awake
2025-04-29 14:38:17.872966,98235,-0.242,-0.500,10.772,-0.044,0.045,-0.004,92719,awake
2025-04-29 14:38:17.895357,98255,-0.230,-0.512,10.776,-0.046,0.045,-0.007,92714,awake
2025-04-29 14:38:17.910629,98275,-0.218,-0.515,10.733,-0.030,0.046,-0.006,92739,awake
2025-04-29 14:38:17.929589,98295,-0.232,-0.445,10.738,-0.002,0.040,-0.003,92758,awake
2025-04-29 14:38:17.947197,98315,-0.230,-0.417,10.760,0.010,0.035,0.002,92776,awake
2025-04-29 14:38:17.957585,98335,-0.218,-0.488,10.793,-0.010,0.036,-0.000,92935,awake
2025-04-29 14:38:18.089012,98355,-0.220,-0.517,10.779,-0.041,0.043,-0.006,93091,awake
2025-04-29 14:38:18.098803,98375,-0.249,-0.496,10.712,-0.046,0.044,-0.007,93314,awake
2025-04-29 14:38:18.103904,98395,-0.244,-0.505,10.681,-0.019,0.041,-0.006,93520,awake
2025-04-29 14:38:18.103904,98415,-0.187,-0.474,10.702,0.011,0.035,-0.001,93736,awake
2025-04-29 14:38:18.103904,98435,-0.204,-0.453,10.788,0.020,0.034,0.005,93091,awake
2025-04-29 14:38:18.103904,98455,-0.235,-0.462,10.786,-0.004,0.034,0.002,94072,awake
2025-04-29 14:38:18.103904,98475,-0.256,-0.488,10.795,-0.038,0.039,-0.007,94263,awake
2025-04-29 14:38:18.117432,98495,-0.218,-0.445,10.757,-0.047,0.040,-0.010,94544,awake
2025-04-29 14:38:18.147577,98515,-0.194,-0.433,10.745,-0.033,0.037,-0.002,94787,awake
2025-04-29 14:38:18.168373,98535,-0.204,-0.491,10.714,-0.019,0.037,0.006,94942,awake
2025-04-29 14:38:18.196935,98555,-0.249,-0.457,10.740,-0.010,0.037,0.004,94620,awake
2025-04-29 14:38:18.198707,98575,-0.247,-0.474,10.803,-0.010,0.040,-0.001,93740,awake
2025-04-29 14:38:18.234191,98595,-0.239,-0.520,10.750,-0.016,0.041,-0.007,92649,awake
2025-04-29 14:38:18.254388,98615,-0.244,-0.505,10.719,-0.017,0.035,-0.010,91798,awake
2025-04-29 14:38:18.270177,98635,-0.208,-0.524,10.721,-0.009,0.030,-0.009,91364,awake
2025-04-29 14:38:18.296520,98655,-0.189,-0.479,10.712,0.008,0.027,-0.006,91386,awake
2025-04-29 14:38:18.306847,98675,-0.211,-0.424,10.748,0.017,0.029,-0.003,91463,awake
2025-04-29 14:38:18.339045,98695,-0.208,-0.407,10.788,0.007,0.031,-0.004,91687,awake
2025-04-29 14:38:18.341703,98715,-0.239,-0.488,10.781,-0.022,0.036,-0.004,91949,awake
2025-04-29 14:38:18.493422,98735,-0.259,-0.520,10.762,-0.044,0.041,-0.008,92189,awake
2025-04-29 14:38:18.493422,98755,-0.235,-0.491,10.704,-0.031,0.043,-0.014,92346,awake
2025-04-29 14:38:18.493422,98775,-0.244,-0.443,10.700,0.004,0.038,-0.014,92549,awake
2025-04-29 14:38:18.493422,98795,-0.184,-0.424,10.760,0.028,0.035,-0.009,92781,awake
2025-04-29 14:38:18.493422,98815,-0.201,-0.450,10.805,0.012,0.034,-0.002,92966,awake
2025-04-29 14:38:18.493422,98835,-0.223,-0.450,10.750,-0.026,0.037,-0.009,93171,awake
2025-04-29 14:38:18.493422,98855,-0.249,-0.469,10.724,-0.048,0.043,-0.014,93234,awake
2025-04-29 14:38:18.509824,98875,-0.242,-0.484,10.712,-0.034,0.040,-0.014,93220,awake
2025-04-29 14:38:18.532798,98895,-0.227,-0.469,10.702,-0.003,0.035,-0.012,92966,awake
