ServerTime,ESP_ms,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR
2025-04-29 13:55:39.852552,21911,5.176,2.677,-7.185,-0.029,0.032,-0.035,102184
2025-04-29 13:55:39.863387,21931,5.164,2.658,-7.147,-0.032,0.044,0.007,103256
2025-04-29 13:55:39.893905,21951,5.183,2.607,-7.101,-0.036,0.027,-0.006,104500
2025-04-29 13:55:39.912512,21971,5.186,2.571,-7.096,-0.045,0.004,-0.050,105450
2025-04-29 13:55:39.933794,21991,5.193,2.602,-7.140,-0.031,0.005,-0.058,105799
2025-04-29 13:55:39.951130,22011,5.193,2.607,-7.151,-0.039,-0.010,-0.118,105836
2025-04-29 13:55:39.970019,22031,5.133,2.634,-7.130,-0.047,-0.024,-0.164,105854
2025-04-29 13:55:39.993416,22051,5.107,2.643,-7.075,-0.043,-0.042,-0.191,105821
2025-04-29 13:55:40.013010,22071,5.028,2.610,-7.099,-0.022,-0.086,-0.236,105453
2025-04-29 13:55:40.033069,22091,5.028,2.586,-7.120,-0.004,-0.128,-0.285,104045
2025-04-29 13:55:40.049389,22111,5.009,2.684,-7.183,0.064,-0.136,-0.272,102215
2025-04-29 13:55:40.075296,22131,5.011,2.890,-7.276,0.061,-0.139,-0.303,101667
2025-04-29 13:55:40.095363,22151,4.982,3.033,-7.312,0.006,-0.091,-0.228,101453
2025-04-29 13:55:40.114401,22171,4.963,2.971,-7.341,-0.023,-0.011,-0.110,101350
2025-04-29 13:55:40.133418,22191,4.934,2.808,-7.228,-0.030,0.019,-0.059,101318
2025-04-29 13:55:40.154320,22211,4.872,2.689,-7.216,-0.019,0.001,-0.084,101246
2025-04-29 13:55:40.162166,22231,4.848,2.737,-7.202,0.017,-0.013,-0.083,101282
2025-04-29 13:55:40.193083,22251,5.064,2.995,-6.845,0.050,-0.087,-0.122,101413
2025-04-29 13:55:40.212660,22271,5.689,2.784,-7.171,-0.075,-0.150,-0.090,101639
2025-04-29 13:55:40.232442,22291,5.634,2.267,-7.793,0.042,0.138,-0.203,101749
2025-04-29 13:55:40.254094,22311,5.574,2.574,-7.151,0.107,0.416,-0.011,101750
2025-04-29 13:55:40.274136,22331,5.171,2.665,-6.924,0.139,0.471,-0.193,101827
2025-04-29 13:55:40.293044,22351,4.896,2.586,-7.298,0.205,0.444,-0.033,101892
2025-04-29 13:55:40.314814,22371,4.719,2.825,-7.271,0.175,0.353,-0.226,101984
2025-04-29 13:55:40.334228,22391,4.614,2.856,-7.130,0.200,0.297,0.025,102047
2025-04-29 13:55:40.357399,22411,4.362,3.110,-7.190,0.165,0.218,-0.236,102028
2025-04-29 13:55:40.374867,22431,4.173,2.753,-7.898,0.123,0.177,0.050,101892
2025-04-29 13:55:40.394544,22451,4.513,3.582,-6.907,-0.050,-0.029,-0.086,102125
2025-04-29 13:55:40.411864,22471,4.774,2.940,-7.082,-0.143,-0.208,-0.023,102589
2025-04-29 13:55:40.435046,22491,5.229,2.349,-7.293,-0.145,-0.213,0.079,102988
2025-04-29 13:55:40.459322,22511,5.557,2.258,-7.245,-0.038,-0.101,-0.086,103287
2025-04-29 13:55:40.474287,22531,5.370,2.452,-7.216,0.096,0.052,-0.179,103541
2025-04-29 13:55:40.493579,22551,4.949,2.737,-7.137,0.112,0.069,-0.226,103711
2025-04-29 13:55:40.514567,22571,4.666,2.892,-7.010,0.089,-0.042,-0.236,103905
2025-04-29 13:55:40.534439,22591,5.021,3.096,-6.563,0.051,-0.298,-0.252,104105
2025-04-29 13:55:40.548392,22611,5.801,2.689,-7.214,-0.035,-0.417,-0.345,104295
2025-04-29 13:55:40.576452,22631,6.110,2.528,-7.994,0.029,-0.007,-0.358,104371
2025-04-29 13:55:40.594963,22651,5.763,2.622,-7.341,0.073,0.514,-0.049,104347
2025-04-29 13:55:40.612566,22671,5.066,2.255,-7.068,0.151,0.576,-0.107,104232
2025-04-29 13:55:40.633492,22691,4.848,2.579,-6.838,0.124,0.348,-0.396,103947
2025-04-29 13:55:40.660760,22711,4.951,2.614,-7.228,0.359,0.309,-0.115,103549
2025-04-29 13:55:40.674642,22731,4.752,2.863,-7.623,0.307,0.367,-0.316,103149
2025-04-29 13:55:40.692715,22751,4.585,3.196,-7.099,0.226,0.373,-0.099,102799
2025-04-29 13:55:40.713628,22771,4.254,3.132,-7.230,0.180,0.250,-0.166,102501
2025-04-29 13:55:40.732931,22791,4.475,3.129,-6.874,0.047,0.007,-0.043,102345
2025-04-29 13:55:40.745039,22811,4.566,2.619,-7.630,0.018,-0.084,-0.181,102394
2025-04-29 13:55:40.774547,22831,4.899,3.024,-7.245,0.061,-0.019,0.028,102499
2025-04-29 13:55:40.794882,22851,5.030,2.909,-7.305,-0.099,-0.061,-0.029,102599
2025-04-29 13:55:40.812911,22871,5.186,2.646,-7.223,-0.081,0.006,0.108,102616
2025-04-29 13:55:40.834597,22891,5.231,2.480,-7.178,-0.059,0.024,0.017,102629
2025-04-29 13:55:40.854285,22911,5.210,2.488,-7.161,0.008,0.058,0.001,102740
2025-04-29 13:55:40.875556,22931,5.128,2.672,-7.140,0.015,0.057,-0.072,102918
2025-04-29 13:55:40.893700,22951,5.040,2.820,-7.195,0.019,0.062,-0.041,103091
2025-04-29 13:55:40.913975,22971,4.973,2.832,-7.209,-0.025,0.051,-0.006,103166
2025-04-29 13:55:40.931977,22991,5.042,2.734,-7.147,-0.049,0.025,0.017,103074
2025-04-29 13:55:40.954301,23011,5.100,2.634,-7.149,-0.034,0.008,0.022,102934
2025-04-29 13:55:40.974379,23031,5.171,2.583,-7.175,-0.018,0.001,-0.003,102812
2025-04-29 13:55:40.994389,23051,5.195,2.658,-7.178,-0.006,0.025,-0.026,102703
2025-04-29 13:55:41.016328,23071,5.138,2.744,-7.264,-0.001,0.062,-0.021,102537
2025-04-29 13:55:41.034146,23091,5.033,2.746,-7.202,-0.014,0.080,-0.008,102381
2025-04-29 13:55:41.047236,23111,4.990,2.717,-7.147,-0.024,0.055,0.006,102239
2025-04-29 13:55:41.075408,23131,5.042,2.653,-7.137,-0.025,0.016,0.003,102152
2025-04-29 13:55:41.095724,23151,5.128,2.648,-7.128,-0.020,-0.001,-0.010,102074
2025-04-29 13:55:41.117092,23171,5.193,2.643,-7.197,-0.015,0.017,-0.019,101990
2025-04-29 13:55:41.128072,23191,5.152,2.698,-7.214,-0.010,0.053,-0.011,101908
2025-04-29 13:55:41.145218,23211,5.080,2.715,-7.202,-0.014,0.069,-0.007,101815
2025-04-29 13:55:41.173940,23231,5.033,2.698,-7.178,-0.020,0.055,-0.001,101761
2025-04-29 13:55:41.192539,23251,5.059,2.686,-7.123,-0.026,0.025,-0.009,101710
2025-04-29 13:55:41.215712,23271,5.090,2.641,-7.166,-0.021,0.009,-0.009,101659
2025-04-29 13:55:41.234275,23291,5.148,2.653,-7.216,-0.016,0.019,-0.013,101625
2025-04-29 13:55:41.255243,23311,5.152,2.691,-7.223,-0.014,0.040,-0.015,101545
2025-04-29 13:55:41.277911,23331,5.104,2.691,-7.173,-0.014,0.059,-0.005,101419
2025-04-29 13:55:41.293924,23351,5.057,2.717,-7.144,-0.023,0.052,-0.007,101062
2025-04-29 13:55:41.312655,23371,5.073,2.682,-7.116,-0.024,0.032,-0.005,100382
2025-04-29 13:55:41.333971,23391,5.095,2.677,-7.173,-0.021,0.016,-0.014,101545
2025-04-29 13:55:41.344883,23411,5.114,2.689,-7.171,-0.015,0.019,-0.017,99048
2025-04-29 13:55:41.382168,23431,5.145,2.689,-7.202,-0.014,0.036,-0.012,98874
2025-04-29 13:55:41.393990,23451,5.107,2.703,-7.199,-0.019,0.052,-0.009,98992
2025-04-29 13:55:41.413815,23471,5.066,2.715,-7.173,-0.022,0.052,-0.003,99186
2025-04-29 13:55:41.430768,23491,5.073,2.679,-7.163,-0.024,0.034,-0.006,99465
2025-04-29 13:55:41.454311,23511,5.088,2.684,-7.144,-0.023,0.017,-0.013,99676
2025-04-29 13:55:41.479335,23531,5.140,2.665,-7.187,-0.018,0.020,-0.016,99868
2025-04-29 13:55:41.494030,23551,5.119,2.689,-7.185,-0.014,0.040,-0.015,100006
2025-04-29 13:55:41.515378,23571,5.104,2.708,-7.192,-0.014,0.056,-0.006,100301
2025-04-29 13:55:41.535407,23591,5.047,2.693,-7.163,-0.023,0.052,-0.007,100599
2025-04-29 13:55:41.544398,23611,5.052,2.689,-7.156,-0.024,0.031,-0.006,100922
2025-04-29 13:55:41.575454,23631,5.090,2.667,-7.163,-0.023,0.015,-0.013,101157
2025-04-29 13:55:41.592834,23651,5.140,2.658,-7.137,-0.019,0.019,-0.017,101284
2025-04-29 13:55:41.613177,23671,5.143,2.684,-7.207,-0.014,0.038,-0.013,101394
2025-04-29 13:55:41.633946,23691,5.097,2.696,-7.185,-0.017,0.056,-0.009,101490
2025-04-29 13:55:41.654242,23711,5.052,2.691,-7.168,-0.020,0.054,-0.006,101528
2025-04-29 13:55:41.674414,23731,5.047,2.686,-7.156,-0.023,0.033,-0.009,101555
2025-04-29 13:55:41.694946,23751,5.097,2.672,-7.135,-0.022,0.015,-0.011,101579
2025-04-29 13:55:41.714353,23771,5.162,2.662,-7.185,-0.020,0.017,-0.016,101635
2025-04-29 13:55:41.734052,23791,5.157,2.674,-7.197,-0.016,0.039,-0.013,101671
2025-04-29 13:55:41.744176,23811,5.088,2.701,-7.190,-0.017,0.055,-0.010,101816
2025-04-29 13:55:41.761052,23831,5.090,2.701,-7.163,-0.022,0.050,-0.009,101954
2025-04-29 13:55:41.794671,23851,5.066,2.701,-7.173,-0.022,0.034,-0.005,102044
2025-04-29 13:55:41.813916,23871,5.090,2.667,-7.147,-0.022,0.020,-0.015,102148
2025-04-29 13:55:41.834945,23891,5.121,2.672,-7.161,-0.015,0.024,-0.014,102143
2025-04-29 13:55:41.846993,23911,5.116,2.684,-7.185,-0.015,0.039,-0.013,102159
2025-04-29 13:55:41.868584,23931,5.085,2.684,-7.187,-0.018,0.050,-0.008,102236
2025-04-29 13:55:41.892543,23951,5.076,2.701,-7.185,-0.020,0.048,-0.005,102339
2025-04-29 13:55:41.912745,23971,5.085,2.672,-7.183,-0.023,0.034,-0.009,102417
2025-04-29 13:55:41.933907,23991,5.080,2.686,-7.154,-0.019,0.022,-0.012,102361
2025-04-29 13:55:41.943182,24011,5.104,2.672,-7.183,-0.015,0.026,-0.013,102029
2025-04-29 13:55:41.974753,24031,5.133,2.686,-7.195,-0.016,0.040,-0.013,101585
2025-04-29 13:55:41.994538,24051,5.092,2.701,-7.154,-0.017,0.049,-0.005,101159
2025-04-29 13:55:42.014198,24071,5.064,2.682,-7.147,-0.022,0.046,-0.008,100792
2025-04-29 13:55:42.029786,24091,5.088,2.693,-7.151,-0.021,0.031,-0.008,100588
2025-04-29 13:55:42.055838,24111,5.090,2.665,-7.161,-0.018,0.022,-0.017,100571
2025-04-29 13:55:42.074706,24131,5.092,2.679,-7.180,-0.014,0.030,-0.014,100595
2025-04-29 13:55:42.097619,24151,5.121,2.684,-7.190,-0.018,0.042,-0.012,100652
2025-04-29 13:55:42.111370,24171,5.095,2.698,-7.156,-0.020,0.047,-0.005,100731
2025-04-29 13:55:42.137677,24191,5.080,2.689,-7.161,-0.022,0.039,-0.008,100788
2025-04-29 13:55:42.151405,24211,5.085,2.674,-7.140,-0.020,0.028,-0.011,100871
2025-04-29 13:55:42.174905,24231,5.109,2.677,-7.168,-0.018,0.025,-0.015,100967
2025-04-29 13:55:42.201201,24251,5.138,2.677,-7.175,-0.018,0.032,-0.013,101072
2025-04-29 13:55:42.212772,24271,5.121,2.689,-7.183,-0.017,0.044,-0.009,101167
2025-04-29 13:55:42.234380,24291,5.100,2.682,-7.166,-0.019,0.047,-0.007,101273
2025-04-29 13:55:42.253912,24311,5.071,2.691,-7.151,-0.022,0.037,-0.009,101355
2025-04-29 13:55:42.276022,24331,5.078,2.670,-7.154,-0.021,0.026,-0.011,101324
2025-04-29 13:55:42.298582,24351,5.131,2.670,-7.166,-0.019,0.024,-0.017,101328
2025-04-29 13:55:42.315106,24371,5.133,2.686,-7.156,-0.016,0.037,-0.012,101318
2025-04-29 13:55:42.333956,24391,5.102,2.689,-7.163,-0.019,0.047,-0.009,101345
2025-04-29 13:55:42.354312,24411,5.092,2.667,-7.166,-0.022,0.045,-0.006,101415
2025-04-29 13:55:42.374286,24431,5.083,2.662,-7.151,-0.022,0.033,-0.009,101516
2025-04-29 13:55:42.391218,24451,5.114,2.679,-7.159,-0.020,0.026,-0.012,101571
2025-04-29 13:55:42.415281,24471,5.133,2.677,-7.192,-0.018,0.028,-0.015,101634
2025-04-29 13:55:42.427433,24491,5.116,2.689,-7.197,-0.017,0.038,-0.011,101699
2025-04-29 13:55:42.455098,24511,5.097,2.674,-7.175,-0.020,0.046,-0.007,101739
2025-04-29 13:55:42.474803,24531,5.083,2.667,-7.168,-0.019,0.042,-0.004,101799
2025-04-29 13:55:42.494732,24551,5.049,2.624,-7.159,-0.024,0.022,-0.029,101833
2025-04-29 13:55:42.515873,24571,5.076,2.600,-7.118,-0.005,-0.003,-0.060,101887
2025-04-29 13:55:42.535084,24591,5.112,2.591,-7.156,0.003,-0.044,-0.138,101959
